IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.26.49,4,4,0.00,192.14,12.91
104.24.77.147,4,4,0.00,186.39,12.53
104.20.166.43,4,4,0.00,193.96,12.15
154.197.75.131,4,4,0.00,189.68,11.30
104.20.180.211,4,4,0.00,191.32,11.05
104.19.14.171,4,4,0.00,187.92,10.57
104.25.54.59,4,4,0.00,185.90,10.42
172.67.103.244,4,4,0.00,183.22,10.39
104.27.92.207,4,4,0.00,189.55,10.34
104.20.53.13,4,4,0.00,191.32,10.04
